	Lemma	LemmaID	Number	Definite	Case	Form
0	acționare	acționare	Sing	Bare	Dir	acționare
1	acționare	acționare	Sing	Bare	Obl	acționări
2	acționare	acționare	Sing	Def	Dir	acționarea
3	acționare	acționare	Sing	Def	Obl	acționării
4	acționare	acționare	Plur	Bare	Dir	acționări
5	acționare	acționare	Plur	Bare	Obl	acționări
6	acționare	acționare	Plur	Def	Dir	acționările
7	acționare	acționare	Plur	Def	Obl	acționărilor
8	amânare	amânare	Sing	Bare	Dir	amânare
9	amânare	amânare	Sing	Bare	Obl	amânări
10	amânare	amânare	Sing	Def	Dir	amânarea
11	amânare	amânare	Sing	Def	Obl	amânării
12	amânare	amânare	Plur	Bare	Dir	amânări
13	amânare	amânare	Plur	Bare	Obl	amânări
14	amânare	amânare	Plur	Def	Dir	amânările
15	amânare	amânare	Plur	Def	Obl	amânărilor
16	coordonată	coordonată	Sing	Bare	Dir	coordonată
17	coordonată	coordonată	Sing	Bare	Obl	coordonate
18	coordonată	coordonată	Sing	Def	Dir	coordonata
19	coordonată	coordonată	Sing	Def	Obl	coordonatei
20	coordonată	coordonată	Plur	Bare	Dir	coordonate
21	coordonată	coordonată	Plur	Bare	Obl	coordonate
22	coordonată	coordonată	Plur	Def	Dir	coordonatele
23	coordonată	coordonată	Plur	Def	Obl	coordonatelor
24	gâscă	gâscă	Sing	Bare	Dir	gâscă
25	gâscă	gâscă	Sing	Bare	Obl	gâște
26	gâscă	gâscă	Sing	Def	Dir	gâsca
27	gâscă	gâscă	Sing	Def	Obl	gâștei
28	gâscă	gâscă	Plur	Bare	Dir	gâște
29	gâscă	gâscă	Plur	Bare	Obl	gâște
30	gâscă	gâscă	Plur	Def	Dir	gâștele
31	gâscă	gâscă	Plur	Def	Obl	gâștelor
32	latură	latură	Sing	Bare	Dir	latură
33	latură	latură	Sing	Bare	Obl	laturi
34	latură	latură	Sing	Def	Dir	latura
35	latură	latură	Sing	Def	Obl	lăturii
36	latură	latură	Plur	Bare	Dir	laturi
37	latură	latură	Plur	Bare	Obl	laturi
38	latură	latură	Plur	Def	Dir	laturile
39	latură	latură	Plur	Def	Obl	laturilor
40	soldat	soldat	Sing	Bare	Dir	soldat
41	soldat	soldat	Sing	Bare	Obl	soldat
42	soldat	soldat	Sing	Def	Dir	soldatul
43	soldat	soldat	Sing	Def	Obl	soldatului
44	soldat	soldat	Plur	Bare	Dir	soldați
45	soldat	soldat	Plur	Bare	Obl	soldați
46	soldat	soldat	Plur	Def	Dir	soldații
47	soldat	soldat	Plur	Def	Obl	soldaților
48	cultură	cultură	Sing	Bare	Dir	cultură
49	cultură	cultură	Sing	Bare	Obl	culturi
50	cultură	cultură	Sing	Def	Dir	cultura
51	cultură	cultură	Sing	Def	Obl	culturii
52	cultură	cultură	Plur	Bare	Dir	culturi
53	cultură	cultură	Plur	Bare	Obl	culturi
54	cultură	cultură	Plur	Def	Dir	culturile
55	cultură	cultură	Plur	Def	Obl	culturilor
56	maior	maior	Sing	Bare	Dir	maior
57	maior	maior	Sing	Bare	Obl	maior
58	maior	maior	Sing	Def	Dir	maiorul
59	maior	maior	Sing	Def	Obl	maiorului
60	maior	maior	Plur	Bare	Dir	maiori
61	maior	maior	Plur	Bare	Obl	maiori
62	maior	maior	Plur	Def	Dir	maiorii
63	maior	maior	Plur	Def	Obl	maiorilor
64	stăpân	stăpân	Sing	Bare	Dir	stăpân
65	stăpân	stăpân	Sing	Bare	Obl	stăpân
66	stăpân	stăpân	Sing	Def	Dir	stăpânul
67	stăpân	stăpân	Sing	Def	Obl	stăpânului
68	stăpân	stăpân	Plur	Bare	Dir	stăpâni
69	stăpân	stăpân	Plur	Bare	Obl	stăpâni
70	stăpân	stăpân	Plur	Def	Dir	stăpânii
71	stăpân	stăpân	Plur	Def	Obl	stăpânilor
72	zeu	zeu	Sing	Bare	Dir	zeu
73	zeu	zeu	Sing	Bare	Obl	zeu
74	zeu	zeu	Sing	Def	Dir	zeul
75	zeu	zeu	Sing	Def	Obl	zeului
76	zeu	zeu	Plur	Bare	Dir	zei
77	zeu	zeu	Plur	Bare	Obl	zei
78	zeu	zeu	Plur	Def	Dir	zeii
79	zeu	zeu	Plur	Def	Obl	zeilor
80	miez	miez	Sing	Bare	Dir	miez
81	miez	miez	Sing	Bare	Obl	miez
82	miez	miez	Sing	Def	Dir	miezul
83	miez	miez	Sing	Def	Obl	miezului
84	miez	miez	Plur	Bare	Dir	mieji
85	miez	miez	Plur	Bare	Obl	mieji
86	miez	miez	Plur	Def	Dir	miejii
87	miez	miez	Plur	Def	Obl	miejilor
88	miros	miros	Sing	Bare	Dir	miros
89	miros	miros	Sing	Bare	Obl	miros
90	miros	miros	Sing	Def	Dir	mirosul
91	miros	miros	Sing	Def	Obl	mirosului
92	miros	miros	Plur	Bare	Dir	mirosuri
93	miros	miros	Plur	Bare	Obl	mirosuri
94	miros	miros	Plur	Def	Dir	miroasele
95	miros	miros	Plur	Def	Obl	miroaselor
96	ramă	ramă	Sing	Bare	Dir	ramă
97	ramă	ramă	Sing	Bare	Obl	rame
98	ramă	ramă	Sing	Def	Dir	rama
99	ramă	ramă	Sing	Def	Obl	ramei
100	ramă	ramă	Plur	Bare	Dir	rame
101	ramă	ramă	Plur	Bare	Obl	rame
102	ramă	ramă	Plur	Def	Dir	ramele
103	ramă	ramă	Plur	Def	Obl	ramelor
104	înconjur	înconjur	Sing	Bare	Dir	înconjur
105	înconjur	înconjur	Sing	Bare	Obl	înconjur
106	înconjur	înconjur	Sing	Def	Dir	înconjurul
107	înconjur	înconjur	Sing	Def	Obl	înconjurului
108	înconjur	înconjur	Plur	Bare	Dir	înconjururi
109	înconjur	înconjur	Plur	Bare	Obl	înconjururi
